Train Epoch: 4 (epsilon = 0.5050, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Train Epoch: 4 (epsilon = 0.5060, delta = 1e-05), clip value = 0.5220300817376 for alpha = 30.0
Epoch 4 Test Accuracy: 0.4636
Train Epoch: 5 (epsilon = 0.5071, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5082, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5092, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5103, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5114, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5124, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5135, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5145, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5156, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 30.0
Train Epoch: 5 (epsilon = 0.5166, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 29.0
Train Epoch: 5 (epsilon = 0.5177, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 29.0
Train Epoch: 5 (epsilon = 0.5187, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 29.0
Train Epoch: 5 (epsilon = 0.5197, delta = 1e-05), clip value = 0.49031365311249997 for alpha = 29.0
